Jan 05, 2022 11:15:49 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 05, 2022 11:15:49 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 05, 2022 11:15:49 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/karaf/lock
Jan 05, 2022 11:15:49 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 05, 2022 11:15:49 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2022-01-05T23:15:51,017 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 | Adding features: log/[4.2.14,4.2.14],shell/[4.2.14,4.2.14],scr/[4.2.14,4.2.14],service/[4.2.14,4.2.14],system/[4.2.14,4.2.14],package/[4.2.14,4.2.14],diagnostic/[4.2.14,4.2.14],bundle/[4.2.14,4.2.14],webconsole/[4.2.14,4.2.14],feature/[4.2.14,4.2.14],deployer/[4.2.14,4.2.14],framework/[4.2.14,4.2.14],ssh/[4.2.14,4.2.14],config/[4.2.14,4.2.14]
2022-01-05T23:15:51,458 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.felix/org.apache.felix.metatype/1.2.4
2022-01-05T23:15:51,458 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.felix/org.apache.felix.scr/2.1.30
2022-01-05T23:15:51,458 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.felix/org.apache.felix.webconsole.plugins.ds/2.1.0
2022-01-05T23:15:51,459 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.felix/org.apache.felix.webconsole.plugins.memoryusage/1.0.10
2022-01-05T23:15:51,459 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.geronimo.specs/geronimo-jaspic_1.0_spec/1.1
2022-01-05T23:15:51,459 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
2022-01-05T23:15:51,459 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.14
2022-01-05T23:15:51,460 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.14
2022-01-05T23:15:51,460 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.14
2022-01-05T23:15:51,460 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.14
2022-01-05T23:15:51,460 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.14
2022-01-05T23:15:51,460 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.http/org.apache.karaf.http.core/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.14
2022-01-05T23:15:51,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.2.14
2022-01-05T23:15:51,462 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.14
2022-01-05T23:15:51,462 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.14
2022-01-05T23:15:51,462 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.14
2022-01-05T23:15:51,462 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.14
2022-01-05T23:15:51,462 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.14
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.console/4.2.14
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.features/4.2.14
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.gogo/4.2.14
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.http/4.2.14
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.javax-websocket-api/1.1_1
2022-01-05T23:15:51,463 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.sshd/sshd-osgi/2.5.1
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.sshd/sshd-scp/2.5.1
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.sshd/sshd-sftp/2.5.1
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.xbean/xbean-bundleutils/4.20
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.apache.xbean/xbean-finder/4.20
2022-01-05T23:15:51,464 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-client/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-continuation/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-deploy/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-http/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-io/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-jaas/9.4.43.v20210629
2022-01-05T23:15:51,465 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-jmx/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-jndi/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-plus/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-proxy/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-rewrite/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-security/9.4.43.v20210629
2022-01-05T23:15:51,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-jaspi/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-server/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-servlet/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-servlets/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-util/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-util-ajax/9.4.43.v20210629
2022-01-05T23:15:51,467 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-webapp/9.4.43.v20210629
2022-01-05T23:15:51,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/websocket-api/9.4.43.v20210629
2022-01-05T23:15:51,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/websocket-client/9.4.43.v20210629
2022-01-05T23:15:51,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/websocket-common/9.4.43.v20210629
2022-01-05T23:15:51,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/javax-websocket-client-impl/9.4.43.v20210629
2022-01-05T23:15:51,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/javax-websocket-server-impl/9.4.43.v20210629
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/websocket-server/9.4.43.v20210629
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty.websocket/websocket-servlet/9.4.43.v20210629
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.eclipse.jetty/jetty-xml/9.4.43.v20210629
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.jline/jline-builtins/3.19.0
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.jline/jline-reader/3.19.0
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.jline/jline-terminal/3.19.0
2022-01-05T23:15:51,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.jline/jline-terminal-jansi/3.19.0
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ow2.asm/asm/9.1
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ow2.asm/asm-commons/9.1
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ow2.asm/asm-tree/9.1
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ow2.asm/asm-analysis/9.1
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ow2.asm/asm-util/9.1
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ops4j.pax.web/pax-web-api/7.2.29
2022-01-05T23:15:51,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ops4j.pax.web/pax-web-jetty/7.2.29
2022-01-05T23:15:51,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ops4j.pax.web/pax-web-runtime/7.2.29
2022-01-05T23:15:51,471 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |       mvn:org.ops4j.pax.web/pax-web-spi/7.2.29
2022-01-05T23:15:51,475 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 | Installing bundles:
2022-01-05T23:15:51,475 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.bouncycastle/bcpkix-jdk15on/1.69
2022-01-05T23:15:51,487 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.bouncycastle/bcprov-jdk15on/1.69
2022-01-05T23:15:51,510 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.bouncycastle/bcutil-jdk15on/1.69
2022-01-05T23:15:51,513 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:javax.annotation/javax.annotation-api/1.3
2022-01-05T23:15:51,515 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:javax.servlet/javax.servlet-api/3.1.0
2022-01-05T23:15:51,517 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.3.2
2022-01-05T23:15:51,534 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.felix/org.apache.felix.inventory/1.0.6
2022-01-05T23:15:51,536 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.felix/org.apache.felix.metatype/1.2.4
2022-01-05T23:15:51,537 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.felix/org.apache.felix.scr/2.1.30
2022-01-05T23:15:51,540 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.felix/org.apache.felix.webconsole.plugins.ds/2.1.0
2022-01-05T23:15:51,542 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.felix/org.apache.felix.webconsole.plugins.memoryusage/1.0.10
2022-01-05T23:15:51,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.geronimo.specs/geronimo-jaspic_1.0_spec/1.1
2022-01-05T23:15:51,545 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
2022-01-05T23:15:51,546 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.14
2022-01-05T23:15:51,547 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.14
2022-01-05T23:15:51,549 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.14
2022-01-05T23:15:51,551 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.14
2022-01-05T23:15:51,552 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.14
2022-01-05T23:15:51,554 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.http/org.apache.karaf.http.core/4.2.14
2022-01-05T23:15:51,558 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.14
2022-01-05T23:15:51,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.14
2022-01-05T23:15:51,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.14
2022-01-05T23:15:51,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.14
2022-01-05T23:15:51,568 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.14
2022-01-05T23:15:51,569 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.2.14
2022-01-05T23:15:51,570 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.14
2022-01-05T23:15:51,572 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.14
2022-01-05T23:15:51,573 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.14
2022-01-05T23:15:51,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.14
2022-01-05T23:15:51,578 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.14
2022-01-05T23:15:51,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.console/4.2.14
2022-01-05T23:15:51,583 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.features/4.2.14
2022-01-05T23:15:51,585 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.gogo/4.2.14
2022-01-05T23:15:51,586 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.karaf.webconsole/org.apache.karaf.webconsole.http/4.2.14
2022-01-05T23:15:51,588 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.javax-websocket-api/1.1_1
2022-01-05T23:15:51,589 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2022-01-05T23:15:51,592 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.sshd/sshd-osgi/2.5.1
2022-01-05T23:15:51,598 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.sshd/sshd-scp/2.5.1
2022-01-05T23:15:51,599 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.14 |   mvn:org.apache.sshd/sshd-sftp/2.5.1
